2026-01-05 22:17:07 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:17:26 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 74.2ms (target: <50ms)
2026-01-05 22:17:45 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.6ms (target: <50ms)
2026-01-05 22:17:48 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.3ms (target: <50ms)
2026-01-05 22:17:56 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 82.4ms (target: <50ms)
2026-01-05 22:18:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 81.6ms (target: <50ms)
2026-01-05 22:18:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.4ms (target: <50ms)
2026-01-05 22:18:21 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.3ms (target: <50ms)
2026-01-05 22:18:29 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 156.5ms (target: <50ms)
2026-01-05 22:18:44 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.5ms (target: <50ms)
2026-01-05 22:18:50 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.2ms (target: <50ms)
2026-01-05 22:18:53 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 78.0ms (target: <50ms)
2026-01-05 22:18:55 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 78.7ms (target: <50ms)
2026-01-05 22:19:08 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 90.8ms (target: <50ms)
2026-01-05 22:19:32 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.3ms (target: <50ms)
2026-01-05 22:19:33 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 160.1ms (target: <50ms)
2026-01-05 22:19:40 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 64.5ms (target: <50ms)
2026-01-05 22:19:41 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:19:53 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 79.6ms (target: <50ms)
2026-01-05 22:19:54 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.4ms (target: <50ms)
2026-01-05 22:19:58 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.5ms (target: <50ms)
2026-01-05 22:20:02 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 66.0ms (target: <50ms)
2026-01-05 22:20:04 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.4ms (target: <50ms)
2026-01-05 22:20:11 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 73.3ms (target: <50ms)
2026-01-05 22:20:15 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.6ms (target: <50ms)
2026-01-05 22:20:27 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.4ms (target: <50ms)
2026-01-05 22:20:28 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.9ms (target: <50ms)
2026-01-05 22:20:29 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.2ms (target: <50ms)
2026-01-05 22:20:34 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 67.9ms (target: <50ms)
2026-01-05 22:20:42 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 83.3ms (target: <50ms)
2026-01-05 22:20:43 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 73.5ms (target: <50ms)
2026-01-05 22:21:10 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 82.7ms (target: <50ms)
2026-01-05 22:21:18 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.1ms (target: <50ms)
2026-01-05 22:21:25 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 73.8ms (target: <50ms)
2026-01-05 22:21:27 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 87.9ms (target: <50ms)
