2025-12-17 17:27:32 - lightweight_realtime - INFO - [2025-12-17 17:27:32.835] Positions: 0 | State: SCANNING | Symbol: JPMm
2025-12-17 17:27:33 - lightweight_realtime - INFO - [2025-12-17 17:27:33.871] Positions: 0 | State: SCANNING | Symbol: METAm
2025-12-17 17:27:34 - lightweight_realtime - INFO - [2025-12-17 17:27:34.943] Positions: 0 | State: SCANNING | Symbol: USDSEKm
2025-12-17 17:27:36 - lightweight_realtime - INFO - [2025-12-17 17:27:36.167] Positions: 0 | State: SCANNING | Symbol: NZDMXNm
2025-12-17 17:27:37 - lightweight_realtime - INFO - [2025-12-17 17:27:37.190] Positions: 0 | State: SCANNING | Symbol: GBPPLNm
2025-12-17 17:27:39 - lightweight_realtime - INFO - [2025-12-17 17:27:39.658] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:40 - lightweight_realtime - INFO - [2025-12-17 17:27:40.682] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:41 - lightweight_realtime - INFO - [2025-12-17 17:27:41.727] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:42 - lightweight_realtime - INFO - [2025-12-17 17:27:42.746] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:43 - lightweight_realtime - INFO - [2025-12-17 17:27:43.765] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:44 - lightweight_realtime - INFO - [2025-12-17 17:27:44.789] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:45 - lightweight_realtime - INFO - [2025-12-17 17:27:45.804] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:46 - lightweight_realtime - INFO - [2025-12-17 17:27:46.820] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:47 - lightweight_realtime - INFO - [2025-12-17 17:27:47.867] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:27:48 - lightweight_realtime - INFO - [2025-12-17 17:27:48.881] Positions: 0 | State: IDLE | Symbol: N/A
