2025-12-18 21:44:37 - lightweight_realtime - INFO - [2025-12-18 21:44:37.084] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:38 - lightweight_realtime - INFO - [2025-12-18 21:44:38.105] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:39 - lightweight_realtime - INFO - [2025-12-18 21:44:39.114] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:40 - lightweight_realtime - INFO - [2025-12-18 21:44:40.140] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:41 - lightweight_realtime - INFO - [2025-12-18 21:44:41.149] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:42 - lightweight_realtime - INFO - [2025-12-18 21:44:42.159] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:43 - lightweight_realtime - INFO - [2025-12-18 21:44:43.178] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:44 - lightweight_realtime - INFO - [2025-12-18 21:44:44.193] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:45 - lightweight_realtime - INFO - [2025-12-18 21:44:45.211] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:46 - lightweight_realtime - INFO - [2025-12-18 21:44:46.220] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:47 - lightweight_realtime - INFO - [2025-12-18 21:44:47.241] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:48 - lightweight_realtime - INFO - [2025-12-18 21:44:48.267] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:49 - lightweight_realtime - INFO - [2025-12-18 21:44:49.288] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:50 - lightweight_realtime - INFO - [2025-12-18 21:44:50.307] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:51 - lightweight_realtime - INFO - [2025-12-18 21:44:51.319] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:52 - lightweight_realtime - INFO - [2025-12-18 21:44:52.337] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:53 - lightweight_realtime - INFO - [2025-12-18 21:44:53.361] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-18 21:44:54 - lightweight_realtime - INFO - [2025-12-18 21:44:54.488] Positions: 0 | State: IDLE | Symbol: N/A
