2025-12-22 17:31:38 - lightweight_realtime - INFO - [2025-12-22 17:31:38.021] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:39 - lightweight_realtime - INFO - [2025-12-22 17:31:39.038] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:40 - lightweight_realtime - INFO - [2025-12-22 17:31:40.053] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:41 - lightweight_realtime - INFO - [2025-12-22 17:31:41.070] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:42 - lightweight_realtime - INFO - [2025-12-22 17:31:42.085] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:43 - lightweight_realtime - INFO - [2025-12-22 17:31:43.114] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:44 - lightweight_realtime - INFO - [2025-12-22 17:31:44.148] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:45 - lightweight_realtime - INFO - [2025-12-22 17:31:45.169] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:46 - lightweight_realtime - INFO - [2025-12-22 17:31:46.197] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:47 - lightweight_realtime - INFO - [2025-12-22 17:31:47.230] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:48 - lightweight_realtime - INFO - [2025-12-22 17:31:48.271] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:49 - lightweight_realtime - INFO - [2025-12-22 17:31:49.289] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 17:31:50 - lightweight_realtime - INFO - [2025-12-22 17:31:50.313] Positions: 2 | State: ENTERING TRADE | Symbol: XAUUSDm
