2025-12-21 19:20:31 - lightweight_realtime - INFO - [2025-12-21 19:20:31.764] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:32 - lightweight_realtime - INFO - [2025-12-21 19:20:32.773] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:33 - lightweight_realtime - INFO - [2025-12-21 19:20:33.796] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:34 - lightweight_realtime - INFO - [2025-12-21 19:20:34.806] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:35 - lightweight_realtime - INFO - [2025-12-21 19:20:35.822] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:36 - lightweight_realtime - INFO - [2025-12-21 19:20:36.843] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:37 - lightweight_realtime - INFO - [2025-12-21 19:20:37.852] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:38 - lightweight_realtime - INFO - [2025-12-21 19:20:38.857] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:39 - lightweight_realtime - INFO - [2025-12-21 19:20:39.883] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:40 - lightweight_realtime - INFO - [2025-12-21 19:20:40.979] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:42 - lightweight_realtime - INFO - [2025-12-21 19:20:42.004] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:43 - lightweight_realtime - INFO - [2025-12-21 19:20:43.031] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:44 - lightweight_realtime - INFO - [2025-12-21 19:20:44.051] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:45 - lightweight_realtime - INFO - [2025-12-21 19:20:45.060] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:46 - lightweight_realtime - INFO - [2025-12-21 19:20:46.069] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:47 - lightweight_realtime - INFO - [2025-12-21 19:20:47.083] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-21 19:20:48 - lightweight_realtime - INFO - [2025-12-21 19:20:48.179] Positions: 0 | State: SCANNING | Symbol: BTCTHBm
2025-12-21 19:20:49 - lightweight_realtime - INFO - [2025-12-21 19:20:49.218] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:50 - lightweight_realtime - INFO - [2025-12-21 19:20:50.226] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:51 - lightweight_realtime - INFO - [2025-12-21 19:20:51.251] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:52 - lightweight_realtime - INFO - [2025-12-21 19:20:52.306] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:53 - lightweight_realtime - INFO - [2025-12-21 19:20:53.319] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:54 - lightweight_realtime - INFO - [2025-12-21 19:20:54.342] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:55 - lightweight_realtime - INFO - [2025-12-21 19:20:55.352] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:56 - lightweight_realtime - INFO - [2025-12-21 19:20:56.363] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:57 - lightweight_realtime - INFO - [2025-12-21 19:20:57.384] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:58 - lightweight_realtime - INFO - [2025-12-21 19:20:58.424] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:20:59 - lightweight_realtime - INFO - [2025-12-21 19:20:59.430] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:21:00 - lightweight_realtime - INFO - [2025-12-21 19:21:00.444] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:21:01 - lightweight_realtime - INFO - [2025-12-21 19:21:01.495] Positions: 0 | State: IDLE | Symbol: N/A
